AQC00914000        2116R  2022S  1840S  1780R  1820R  1306R  1274R  1383R  1570S  2003S  2036R  2242R
USC00425477          53S    57S    74S    61C    67S    46C    86S   103C    74S    94S    57S    61R
USC00425582          60C    57S    54C    41S    49C    21C    59C    79C    89C    75S    53C    45S
USC00425723          76S   100C   153C   110C    80S    70S   104S   142C    99C   142S    83S    97S
USC00425733          63S    63S    83S    83S    70S    41S    97S    97S    86S   117C    76S    69S
USC00425805         159S   141S   118S    96S    84S    61S   129S   202S   183S   165S   136S   149S
USC00425826         158S   145R   171S   164S   192S   128S    67S    78S   148S   161S   180S   182R
USC00425837          91R    92R   101R    89R    83S    68S    65S    78S    99S   118R    85R   125R
USC00425892         194R   195R   259R   276R   300R   180R    98R   102R   212R   273R   241R   228R
USC00425969          38R    36S    36S    66R    76R    63R    51S    66S    88R    93S    46R    38R
USC00426053         111R    82R   119R    91S    66R    45S   122S   175R   158S   141S    94R    87R
USC00426123          56R    56R    57S    79S   101S    69S    61S    84S   136S   122R    61S    60R
USC00426135         131S   129S   163S   167S   162C    96S    75C    91S   119S   157S   128C   133S
USC00426181         199S   222S   204R   112S    75S    55S   125S   171S   123S   176S   136R   167R
USC00426357         130R   116S   173S   174S   152S    89S    56S    66S   103S   165S   119S   147R
USC00426404         215R   195S   212S   233R   258S   154C    78S    88S   167C   230S   201S   202R
USC00426414         178R   162R   184S   188S   206R   132R    58R    74R   137S   185R   167R   165R
USC00426455         194R   174R   175R   207R   226R   128R    65R   106R   168R   207R   180R   185R
USC00426534         240R   203R   175S   106S    72S    53C   115S   156S   116S   141S   133R   171R
USC00426538         127R   108R   106R   133R   151R    85S    51S    68R   118S   150R   111R   118R
USC00426568          48R    33S    50R    70S    73S    49S    65S    72S    89S   106R    48S    41R
USC00426601          57R    58R    61R    62R    61R    53R   123R   188R    92R   113R    68R    45R
USC00426640          98Q    87Q    94Q    60Q    58Q    33Q    92Q   136Q   110Q   135Q    83Q    70Q
USC00426686          91R   119R   150R   116R    82R    48R    87R   146R    80R   137R   107R    79R
USC00426708          49S    51R    56S    77S    90S    68S    53S    63S    65S    72S    44S    42S
USC00426724         155R   169R   163R   202R   198R    86R    65R    67R   104R   196R   167R   142R
USC00426869         366R   311S   329R   303R   332R   181S    94R   116R   210R   314R   329R   372R
USC00426919         174S   167S   180S   183S   200C   104C    82S    82S   133C   181C   150S   178C
USC00426938         139R   138R   143R   152R   204R   104R    68R    80R   115R   141R   114R   173R
USC00427026          76R    82R    71R    60R    64R    60S    72S   109S   120R   111R    48R    62R
USC00427064         188C   185C   192S   201C   208S   120C    75S    99C   145C   200C   168S   194C
USC00427165          96R    90R    88R   125R   175R   112R    84S   116S   137S   122S   111R    97R
USC00427260          47S    47S    71S    62S   105S    66S    65S    78S    87C   105S    59S    56S
USC00427271         173S   174S   220C   228S   251C   139S    89S    88C   147C   201C   174S   190S
USC00427395          49R    37R    49R    65R    84R    50R    58R    65R    94R   102R    43R    49R
USC00427408         107R   104R    99R   126R   129R   113R   104R    77R    73R    79R    59R   130R
USC00427516         138R   126R   118R    55S    21S    17S    48R    76R    57S    68R    71S    85R
USC00427557          66R    63R   126R    93R   111R    70R    59R    76R   111R   135R    71R    98R
USC00427559          93R   102R   125R    91R   128R    86R   119R   152R   143R   142R   119R   104R
USC00427606         145R   148R   222R   233R   210R   113R    59R    71R   152R   164R   178R   162R
USC00427686         151R   173R   201R   208S   217S   109S    64C    88S   146S   209S   156R   160R
USC00427714         126S   122S   130S   124S   141S    79R    70R   100R   123R   167S   120S   145R
USC00427729         261R   267R   257R   239R   194R   114R   128R   147R   204S   227R   245R   288R
USC00427800          43R    56R    93R    62R    98R    72R    58R    74R    90R   128R    76R    72R
USC00427846         485R   459R   494R   437R   338R   193R   151S   189S   276S   380R   503R   525R
USC00427909         248S   248S   175S   154S   182S   113R    93S   111R   158R   206S   227R   250R
USC00427931          73R   107R   117R   161R   195R    89R    72R    63R   103R   113R    92R   130R
USC00427942         250Q   197Q   225Q   224Q   206Q   142Q   131Q   130Q   187Q   218Q   217Q   203Q
USC00428119         187S   219S   231C   236S   225C   121S    71C    87C   161C   222S   212S   217S
USC00428456          92R   113S   137S   116S    77S    45S   105S   123C    77S   135S   103S    97S
USC00428478         103R   105R    96R   124R   125R   103R   122R   127R   189R   170R    67R    81R
USC00428668         125R   108R   127S   126S   191S   109R    73S    70S   104R   138R   117S   142R
USC00428733         225R   212R   243R   228R   291R   154S    96S   127S   207R   252R   235R   163R
USC00428771         141S   173C   244C   229C   243C   116C    89C    91S   141C   185C   189C   167S
USC00428817         171S   143S   150S   156S   218R   112S    89S    78S   127S   165S   127R   167S
USC00428828         123R   162R   177R   200R   226R   125R    71R    71R   128R   178R   144R   150R
USC00428973         102R   145R   116R   138R   154R    79R    59R    87R   116R   132R   119R   102R
USC00428978         100Q   124Q   135Q   158Q   170Q   106Q    73Q    70Q   119Q   134Q   108Q   109Q
USC00429133          73S    90S   107S    97S   124S    80S    78S    76S    85S   126S    89S    78S
USC00429136         138S   187S   209S   114S    54S    41S    96S   123R   111S   121S   108S   162R
USC00429152          35R    43R    54R    55R    62R    44R    57R    92R    67R    95R    44R    25R
USC00429165         109S    95C   146C   182S   206C   123C    97S   107C   156C   181S   168S   118S
USC00429346         241S   237S   274S   288S   314S   182S    87S   102S   177R   253S   220R   258S
USC00429368          62S    62S    67S    68S    75S    57C    76S   103S   125S   105S    55S    60S
USC00429514          57R    61R    87R    68R    71R    55R   131R   160R   110R   152R    58R    48R
USC00429595          51S    49S    63S    89C   129S   106S    71S    93S   123C   107C    71S    52S
USC00429717         182S   198S   204S   131C    67C    31S   122C   145S   104S   130S   142C   163S
USC00430277         362Q   351Q   422Q   411Q   415Q   458Q   438Q   399Q   387Q   456Q   425Q   433Q
USC00430499         292R   270R   336R   331R   330R   371R   380R   404R   341R   377R   344R   330R
USC00430661         308S   275S   330S   347S   360C   407S   418S   406S   363C   410S   369S   367S
USC00430940         327R   329R   320R   320R   302R   412R   383R   448R   360R   425R   389R   349R
USC00430942         277Q   280Q   296Q   352Q   393Q   399Q   454Q   431Q   391Q   433Q   345Q   379Q
USC00431213         258S   208S   265R   279S   358C   453S   432S   446S   350S   396S   335S   274R
USC00431243         346S   293S   372S   388C   423C   433C   385C   402C   390C   464C   411C   375S
USC00431360         273R   232R   274R   314R   350R   373R   454R   428R   344R   396R   338R   301R
USC00431363         281Q   235Q   289Q   323Q   364Q   420Q   447Q   392Q   376Q   426Q   366Q   312Q
USC00431433         285S   256C   307C   358C   402S   466C   492C   466C   416C   451C   385C   325S
USC00431580         259Q   234Q   270Q   314Q   371Q   400Q   438Q   427Q   371Q   406Q   344Q   304Q
USC00431705         319Q   248Q   405Q   438Q   422Q   457Q   469Q   419Q   390Q   435Q   424Q   360Q
USC00432314         263Q   217Q   259Q   305Q   362Q   384Q   437Q   441Q   400Q   421Q   362Q   327Q
USC00432698         295Q   267Q   339Q   350Q   398Q   481Q   440Q   493Q   373Q   422Q   378Q   376Q
USC00432769         221S   200S   251S   307S   388S   419C   452R   471S   381S   419C   380S   285S
USC00432773         181Q   192Q   245Q   278Q   370Q   393Q   444Q   427Q   372Q   413Q   345Q   278Q
USC00432843         239R   210R   273R   314R   364R   401R   455R   442R   391R   405R   350R   278R
USC00433341         201R   205R   199R   274R   308R   378R   401R   446R   332R   371R   302R   272R
USC00433769         296Q   239Q   288Q   356Q   403Q   464Q   469Q   490Q   396Q   477Q   404Q   346Q
USC00434052         236R   211R   299R   356R   373R   451R   477R   457R   387R   441R   396R   267R
USC00434120         295R   212R   285R   304R   387R   436R   470R   484R   393R   439R   392R   322R
USC00434189         507Q   426Q   367Q   427Q   591Q   583Q   609Q   612Q   529Q   664Q   549Q   618Q
USC00434261         375Q   290Q   369Q   432Q   438Q   496Q   487Q   503Q   512Q   610Q   547Q   394Q
USC00434747         362R   318R   391R   401R   435R   464R   423R   399R   399R   476R   422R   393R
USC00435273         298Q   269Q   285Q   316Q   386Q   412Q   442Q   406Q   346Q   392Q   355Q   335Q
USC00435376         266R   259R   279R   306R   380R   357R   461R   438R   365R   431R   364R   317R
USC00435416         573S   521S   582S   617S   660C   711C   764S   776C   736C   760S   747S   683S
USC00435542         265S   229S   280S   281S   367S   406S   443S   442S   344S   402S   353S   323S
USC00435733         310R   269R   343R   352R   398R   393R   491R   376R   315R   400R   363R   368R
USC00435740         308R   248R   337R   336R   382R   400R   394R   502R   372R   431R   382R   343R
USC00436391         259Q   240Q   288Q   322Q   339Q   402Q   424Q   405Q   367Q   405Q   326Q   312Q
USC00436500         298R   252R   325R   351R   412R   486R   458R   415R   406R   429R   390R   311R
USC00436761         372R   359R   429R   458R   454R   441R   449R   404R   414R   477R   445R   426R
USC00436893         340S   283S   335S   374S   428S   491S   473S   453S   413C   464S   379R   380S
USC00436995         254S   216S   277S   288C   370S   397S   476S   407S   371S   383C   327S   280S
USC00437032         210R   196R   265R   306S   323S   373S   382R   392R   358S   362S   333R   268S
USC00437098         212S   203S   232S   310S   369C   397S   438S   416C   376C   387S   337S   306S
USC00437152         405R   404R   435R   470R   464R   490R   443R   509R   446R   513R   503R   487R
USC00437607         179C   142S   196S   241S   305C   360C   374C   385C   326C   353S   296S   207C
USC00437612         279S   238S   314S   375R   436S   457R   496R   540R   406S   504S   408R   345R
USC00437646         216R   206S   228S   259S   317C   396S   398S   413S   348S   397S   314S   255R
USC00438160         344R   282R   355R   347R   433R   466R   455R   440R   383R   428R   398R   395R
USC00438169         273Q   265Q   306Q   284Q   387Q   425Q   442Q   451Q   348Q   425Q   379Q   341Q
USC00438172         278Q   233Q   301Q   286Q   379Q   449Q   443Q   480Q   356Q   424Q   367Q   337Q
USC00438556         253R   230R   260R   275R   355R   329R   412R   342R   347R   416R   327R   286R
USC00438600         346R   332R   393R   401R   408R   434R   410R   444R   372R   492R   446R   380R
USC00438637         353R   282R   368R   375R   426R   421R   467R   455R   423R   515R   430R   390R
USC00438815         293R   267R   309R   331R   374R   421R   404R   443R   391R   401R   370R   312R
USC00439099         289R   230R   275R   289R   383R   411R   461R   483R   354R   420R   362R   332R
USC00439591         413R   345R   482R   451R   451R   514R   487R   463R   447R   555R   522R   454R
USC00439735         375R   388R   435R   445R   438R   491R   473R   448R   426R   470R   449R   448R
USC00439984         334R   282R   375R   336R   381R   346R   400R   360R   360R   445R   401R   360R
USC00439988         301Q   265Q   317Q   339Q   378Q   419Q   461Q   465Q   368Q   443Q   384Q   337Q
USC00440021         367R   374S   404S   394S   461C   406S   503S   360C   335S   241S   330S   389S
USC00440079         357Q   299Q   408Q   320Q   381Q   398Q   448Q   413Q   417Q   332Q   347Q   345Q
USC00440135         285R   263R   319R   297R   406R   399R   436R   352R   316R   257R   289R   287R
USC00440166         328R   294R   414R   360R   398R   356R   455R   374R   388R   328R   363R   344R
USC00440187         333R   300R   419R   319R   384R   341R   418R   409R   382R   342R   405R   367R
USC00440188         355Q   299Q   411Q   330Q   398Q   335Q   412Q   539Q   394Q   332Q   356Q   369Q
USC00440243         314R   308R   397R   342R   476R   395R   482R   398R   430R   376R   398R   343R
USC00440327         325S   300C   395C   333C   403C   362S   457C   352S   376S   327C   358C   353S
USC00440551         336R   294R   346R   388R   420R   438R   443R   393R   401R   361R   330R   358R
USC00440561         330Q   286Q   377Q   379Q   404Q   388Q   470Q   345Q   403Q   330Q   365Q   343Q
USC00440720         358R   302R   445R   439R   502R   481R   504R   381R   635R   469R   490R   413R
USC00440735         419R   440R   469R   467R   488R   385R   529R   428R   388R   293R   396R   509R
USC00440766         308S   281S   364S   348S   433S   400S   426S   359C   310C   278S   287S   295S
USC00440792         323C   303S   353S   357C   424C   395C   377S   355S   312S   260C   254C   318C
USC00440860         270Q   258Q   370Q   344Q   435Q   425Q   520Q   356Q   435Q   348Q   397Q   298Q
USC00440982         374Q   359Q   404Q   414Q   489Q   449Q   466Q   370Q   333Q   284Q   329Q   351Q
USC00440993         308R   279R   397R   316R   397R   350S   423S   385R   371S   370R   376R   326R
USC00441082         367R   314R   394R   371R   469R   297R   436R   396R   388R   361R   368R   335R
USC00441099         297Q   285Q   337Q   360Q   427Q   407Q   392Q   339Q   372Q   299Q   372Q   331Q
USC00441121         290R   280R   354R   345R   402R   342R   453R   330R   375R   321R   319R   309R
USC00441136         311S   292C   378C   320C   435S   334C   407C   377C   409S   375C   397C   331S
USC00441159         283R   267R   378R   344R   372S   370S   388S   309S   384S   302S   415R   311R
USC00441209         395S   346C   402S   368S   476S   422S   448S   416C   331S   292S   312S   380S
USC00441259         309R   313R   366R   347R   403R   371R   432R   349R   401R   302R   329R   283R
USC00441322         367R   318C   428S   360S   423S   393S   413S   447S   406C   363S   343C   343S
USC00441585         367S   309S   402S   351S   411R   358S   424R   393S   408S   337S   370S   346S
USC00441593         310S   307S   385S   340S   463S   416S   532C   407S   490C   374S   409S   335S
USC00441606         346R   281R   433R   393S   396S   361S   443S   444S   409S   355S   353S   372R
USC00441614         378S   301S   405S   355C   404S   374C   449S   382C   445C   329C   358C   344S
USC00441692         276R   283R   328R   328R   490R   392R   435R   330R   348R   275R   290R   298R
USC00441746         328R   285R   393S   329S   411S   419S   449S   309S   375S   343S   324S   341R
USC00441825         361R   365R   387R   408R   459R   479R   475R   365R   328R   270R   298R   366R
USC00441913         292R   300R   407R   383R   414R   341R   445R   371R   383R   363R   298R   406R
USC00441955         342S   316S   386S   329C   408S   352S   412C   348C   419S   337S   371S   323S
USC00441999         321S   290S   391S   384C   440S   473S   473S   435S   450C   341S   389S   324S
USC00442009         314S   306S   402R   325S   396S   372S   398S   335S   411S   374S   361S   334S
USC00442041         275R   232R   303R   313R   390R   317R   382R   294R   311R   244R   282R   267R
USC00442044         250S   237S   328S   322C   408C   330S   397S   322S   324S   254S   336S   271S
USC00442064         302C   266C   351S   353S   433S   411S   513S   338S   362S   300S   357S   313C
USC00442142         320R   284S   364R   341S   419S   358S   380S   414S   344R   318S   368S   335S
USC00442208         229S   222C   292C   297S   371C   341S   400C   344S   354C   252C   285S   261C
USC00442245         361S   314S   427S   376S   409C   357S   459S   373S   395C   366C   331S   326C
USC00442400         362Q   309Q   426Q   361Q   392Q   360Q   522Q   483Q   471Q   337Q   337Q   346Q
USC00442600         271R   265R   344R   353S   459C   338S   399S   324C   356C   267S   311S   285R
USC00442635         376Q   296Q   385Q   330Q   354Q   375Q   504Q   531Q   434Q   349Q   308Q   360Q
USC00442663         208R   181R   292R   281R   390R   378R   367R   349R   340R   234R   276R   232R
USC00442790         351C   287S   407S   360C   382S   345C   464C   456C   442C   324C   309C   340S
USC00442941         347S   309R   426S   327S   400C   328S   412S   391S   398C   342C   365S   336S
USC00443192         402R   269R   404R   322R   419R   297R   423R   334R   346R   372R   383R   328R
USC00443204         290Q   251Q   399Q   335Q   408Q   397Q   453Q   339Q   432Q   338Q   375Q   318Q
USC00443213         311R   295R   361R   339R   419R   442R   484R   349R   484R   348R   400R   316R
USC00443229         244R   265R   376R   326R   420R   403R   330R   306R   450R   315R   375R   282R
USC00443267         336R   329R   379R   354S   392S   387S   424R   404S   383S   283S   359S   327R
USC00443310         278S   260C   328C   317C   411C   364S   390C   319C   337C   273C   311C   296S
USC00443375         387C   328C   437C   415C   445C   432C   413C   364S   467C   378C   465C   393C
USC00443397         258R   248R   322R   304R   394R   351R   406R   326R   296R   241R   253R   264R
USC00443466         316R   295R   380R   335R   428R   403R   446R   351R   387R   345R   389R   343R
USC00443470         330S   285S   377S   355S   455S   394S   432S   382S   382S   309S   391S   337S
USC00443565         341Q   317Q   418Q   321Q   411Q   339Q   434Q   417Q   407Q   338Q   359Q   420Q
USC00443640         319S   309S   343C   406S   489C   450S   520S   386S   314C   282S   291S   327S
USC00443991         349R   296R   385R   392R   411R   448R   428R   381R   381R   305R   361R   310R
USC00444039         341Q   304Q   380Q   410Q   432Q   434Q   443Q   371Q   427Q   330Q   403Q   370Q
USC00444044         381S   324S   398S   344C   392C   371S   520C   520C   515S   378C   328S   349S
USC00444101         347R   318S   407S   376C   383C   335S   465S   506S   462C   332S   351C   346C
USC00444128         346R   303R   409R   370S   419S   366R   421S   343S   365R   301R   372R   335R
USC00444148         339S   292C   371S   335C   365C   354C   400S   354C   412S   341C   358C   329S
USC00444410         325Q   345Q   378Q   375Q   470Q   442Q   463Q   393Q   331Q   300Q   321Q   361Q
USC00444414         329S   275S   420C   330C   358C   353C   510C   393S   347C   333S   309C   324C
USC00444565         327S   268S   358C   372C   440S   435C   468C   399S   393S   336S   405S   324S
USC00444568         310S   220S   348S   288S   360S   294S   431S   321C   387C   306C   297S   297S
USC00444600         347R   307R   468R   314R   392R   402R   494R   522R   403R   352R   308R   358R
USC00444676         293C   279S   336C   323C   389C   367C   395C   322C   333C   266S   294S   286C
USC00444768         370R   325R   412R   333R   370R   388R   475R   461R   430R   298R   388R   323R
USC00444777         304R   343R   384R   343R   442R   458R   457R   367R   309R   240R   301R   342R
USC00444876         279R   265S   315R   342S   402S   425S   412S   317R   352S   292S   339S   311S
USC00445050         306S   292C   380S   324C   414S   362S   471C   358C   418C   362S   413S   318S
USC00445096         268R   266R   388R   344S   400S   395S   411S   332S   453S   303S   361S   305R
USC00445117         317R   296R   363R   367R   388R   305R   413R   337R   372R   336R   323R   331R
USC00445150         272Q   293Q   370Q   329Q   448Q   436Q   421Q   363Q   438Q   336Q   391Q   351Q
USC00445300         349R   314S   415S   349S   403S   375S   447S   391R   456R   330S   344S   339S
USC00445338         348R   319R   444R   360R   379R   353R   468R   473R   413R   387R   326R   380R
USC00445416         313R   266R   363R   368R   442R   372R   415R   357R   405R   279R   306R   303R
USC00445453         415S   349S   477S   446S   485S   552C   535C   507C   500C   408S   442C   404S
USC00445595         325C   298S   387S   375C   477C   406S   467S   351S   359C   294C   354C   335S
USC00445685         446R   345R   452R   440R   438R   395R   459R   443R   466R   434R   556R   404R
USC00445700         236R   278R   365R   325R   410R   396S   549S   404S   447S   368S   386R   304R
USC00445851         288R   296S   356R   369S   448S   424S   381S   345S   452S   343S   351S   295R
USC00445880         338R   325R   416R   381R   470R   381R   461R   338R   366R   284R   381R   331R
USC00446125         361Q   362Q   390Q   321Q   550Q   572Q   475Q   428Q   331Q   268Q   336Q   374Q
USC00446147         371Q   316Q   402Q   361Q   385Q   447Q   514Q   734Q   507Q   342Q   341Q   359Q
USC00446161         365Q   303Q   402Q   369Q   421Q   420Q   483Q   447Q   507Q   403Q   333Q   337Q
USC00446173         370R   372R   389S   412R   514R   443S   488R   399R   340R   265R   305R   371R
USC00446475         347S   301S   413S   327S   332C   394C   504S   429C   396S   359C   311C   385S
USC00446491         288S   280S   371S   303S   370S   365S   436C   383S   367S   344C   352C   319S
USC00446593         329R   298R   373R   370R   424R   380R   383R   335R   387R   322R   371R   354R
USC00446626         398R   430R   384S   426S   487R   401R   453R   362S   357S   256S   362S   439R
USC00446656         326Q   268Q   414Q   323Q   386Q   361Q   446Q   477Q   426Q   322Q   324Q   320Q
USC00446692         332S   303S   402S   365R   446S   414S   483S   487S   474S   345S   343S   341S
USC00446712         276C   275C   351C   340S   414C   417C   470S   322C   403C   342C   382C   307C
USC00446906         337S   287C   392S   337C   379S   303S   419S   443C   359S   320S   372S   358S
USC00446955         285C   269S   319S   295S   377C   351C   393C   309S   306C   265C   245S   280S
USC00446999         293R   274R   298R   307R   392R   307R   422R   340R   301R   264R   335R   294R
USC00447174         305R   291R   394R   379R   475R   395R   432R   413R   313R   244R   298R   345R
USC00447278         302R   264R   373R   373R   443R   446R   518R   359R   414R   306R   326R   323R
USC00447338         337R   308R   426R   377S   407S   452S   487S   429S   459S   318S   357R   349R
USC00447506         360R   347R   386R   362R   435R   415R   503R   418R   328R   273R   325R   366R
USC00447541         337Q   302Q   415Q   341Q   403Q   354Q   429Q   472Q   406Q   316Q   367Q   342Q
USC00447904         289Q   277Q   373Q   319Q   422Q   407Q   570Q   354Q   424Q   355Q   385Q   313Q
USC00447925         361S   312C   415C   348S   392C   429C   433S   377C   398C   348C   340C   336C
USC00447985         307R   284R   402R   377R   435R   434R   432R   391R   497R   356R   465R   338R
USC00448022         290S   273S   343S   335S   424S   371S   409S   324S   309S   265S   284C   284S
USC00448062         267S   255S   325S   315S   374S   361C   390S   363S   379S   298S   309S   274S
USC00448084         285S   277C   360S   362C   472S   392C   370C   349C   400C   359C   358S   309S
USC00448129         363R   307R   429R   351R   431R   412R   483R   491R   441R   330R   309R   350R
USC00448170         387S   325S   408S   399S   460S   499S   557R   499R   464S   332S   346S   351S
USC00448192         363S   323C   405C   355C   383C   437C   514C   571S   532C   363C   354C   349C
USC00448396         304S   286S   368S   356S   472S   401S   371S   388S   437R   346S   372S   304S
USC00448547         348C   333C   379C   356C   412C   406C   416C   365S   313S   278C   306C   332C
USC00448600         321S   301S   374C   341C   451S   359S   404S   377C   416C   364C   361S   356C
USC00448737         313S   281S   382S   359R   453S   408S   419S   369S   418S   351S   356S   327S
USC00448800         370S   292S   418S   371S   411R   399S   481S   510S   516S   318S   311S   346R
USC00448829         318C   291S   411C   313C   390C   335C   452C   376S   374S   334S   333S   341S
USC00448888         302R   278R   352R   368R   456R   423R   427R   377R   450R   322R   353R   340R
USC00448894         308S   270C   398S   313C   415C   355C   458S   463C   423C   347S   334C   312C
USC00448941         279Q   292Q   373Q   355Q   393Q   387Q   423Q   404Q   470Q   321Q   448Q   294Q
USC00449025         362S   297S   408C   357C   390C   374C   457S   452C   451C   330C   317C   343S
USC00449151         370S   320S   434C   370C   401C   334C   547S   537C   490C   346C   327C   355S
USC00449169         337S   309R   412S   378S   436S   454S   415S   393S   381R   317S   344S   331S
USC00449181         256S   232S   345S   337S   387S   361S   353S   302S   374S   295S   323S   268S
USC00449186         219R   247R   342S   317S   382S   366S   359S   323C   391S   294S   315S   247R
USC00449213         360S   305C   426C   334C   390S   329C   429C   433S   425S   322C   362C   349C
USC00449215         388S   398S   412S   413S   462S   446C   530S   405S   360S   257S   346C   381C
USC00449263         267R   259S   326S   293S   401C   380C   380S   316S   388S   266S   285S   265R
USC00449272         404S   361C   475C   409S   465S   423S   431R   457S   463C   365C   421S   420C
USC00449301         290C   280S   324C   322C   411C   357S   375S   344S   319C   269S   273S   278S
USC00450008        1358S   927S   895C   619C   377S   261S   123C   148C   253S   769C  1428C  1289S
USC00450013        2045R  1432R  1399R   994R   589R   429R   224R   267R   499R  1250R  2000R  1932R
USC00450176         358R   234S   231R   193R   188R   150R    86S   103R   153S   276S   467R   344R
USC00450217         556Q   380Q   309Q   181Q   140Q    97Q    27Q    35Q    86Q   214Q   549Q   626Q
USC00450257         564S   383C   457S   412C   361S   275C   147S   155C   235S   466S   682C   590S
USC00450294          88S    90S   132S   175C   228S   192C   112S    91C    80S    99S   135S   121S
USC00450456        1595S  1026S  1039R   783S   556S   420S   206S   196S   455R  1100S  1894S  1398C
USC00450482         719S   542S   554S   435C   343S   251C    87C    95C   224C   440C   814S   756S
USC00450587         456R   291R   312R   259R   250R   184R   106R   127R   181R   363R   584R   412R
USC00450668         161R   140R   128R    90R   101R    72R    23R    37R    50R    88R   178R   243R
USC00450729         580S   359S   380S   286S   270S   199S   127S   138S   206S   392S   633S   530S
USC00450844         303S   189C   223C   219C   271S   307S   163S   117C   143C   210C   320S   347S
USC00450872         889R   602S   595R   357S   246S   169S    86S   103S   155S   489S   939S  1007S
USC00450945         592S   427C   488C   410C   366S   294C   136C   135S   209S   446S   748C   529S
USC00451205        1153S   870S   806S   609S   422S   334S   120S   133S   302S   720S  1327R  1142S
USC00451233        1300S   860S   994S   829S   688S   562C   253S   256S   460S   886S  1534S  1117S
USC00451276         682S   479S   490S   357C   256S   193C    61C    93S   161C   433S   788S   711S
USC00451350         156R   130R    90S    64S    99C    88S    36S    30S    35S    78C   177R   156R
USC00451395         220R   169R   208R   165R   196S   177R   106R    78S    82R   117R   281R   254R
USC00451400         138S   105S    90S    55S    96S    90S    56S    26S    39C    60C   143S   186S
USC00451414         351C   272S   283C   215C   208C   166C    88C    85C   109C   221S   429C   451S
USC00451484         604R   367R   440S   359C   335C   265C   163C   166C   257C   489C   695S   545R
USC00451496        1652S  1124S  1217S   858S   559R   377R   219S   265S   430S  1073S  1683S  1434S
USC00451504         298Q   258Q   198Q   107Q   115Q    89Q    59Q    50Q    81Q   191Q   431Q   350Q
USC00451586         231R   162R   218R   176R   172R   139R    66R    57R    68R   134R   260R   296R
USC00451630         212R   130R   186R   128R   216R   193R   101R   109R   103R   120R   230R   256R
USC00451679        1003S   653C   682C   501S   388S   296C   158S   170S   304C   694S  1202S   991C
USC00451690         105R    79R    88R    70R    72R    56R    27R    22R    35R    70R   119R   119R
USC00451691         124S    88S   111C    82C    91S    62S    31S    20S    47C    77C   140C   146C
USC00451760        1701R  1297S  1234S   908S   541S   410C   124S   165S   385S   911S  1865C  1733S
USC00451767         106S    96S    91S    87S   115S   105R    64S    28S    44S    68S   130S   145R
USC00451783         250S   169S   188S   167R   183S   133S    86S    77S   127S   197S   315S   253R
USC00451939        1479C  1002C   939S   580C   323S   208C   110S   130C   236C   823C  1605S  1549S
USC00451992        1162Q   851Q   726Q   543Q   401Q   322Q   161Q   171Q   297Q   773Q  1510Q  1213Q
USC00452007         156R   117S   137S   101S   138S   115S    61S    35S    56S   105S   186R   182R
USC00452030         228S   171S   218S   172S   175S   127S    47R    50S    79S   151R   270S   219R
USC00452157        1191S   731C   708S   481C   318S   242C   156S   165C   309S   835C  1473S  1110S
USC00452220         805R   554R   589R   433R   253R   178R    68R    73R   163R   439R   875R   830R
USC00452384         745Q   473Q   434Q   326Q   231Q   181Q    94Q    67Q   170Q   362Q   823Q   647Q
USC00452505         119R    82S    68S    61S    65S    59S    33C    24C    45S    60S   124S   156R
USC00452507         131Q    71Q    83Q    64Q    73Q    62Q    28Q    23Q    50Q    59Q   109Q   152Q
USC00452531        1055S   733S   734C   514S   333S   236S   100C   135S   243S   654S  1113S  1054S
USC00452542         120R    87R    87R    74R    77R    68R    30R    22R    40R    73R   117R   141R
USC00452548         930R   564R   610R   321R   212R   133R    83S   119S   151S   522R  1038R   907R
USC00452563         182R   133R   110R    68R    90R    83R    32R    26R    41R    96R   214R   239R
USC00452675         511R   308R   369S   300S   267R   230S   117S   115S   195R   358C   557R   517R
USC00452914        1827C  1271S  1354C   921C   578S   391C   247S   259C   403S  1180C  1863S  1678S
USC00453177         941R   699R   702R   567R   415R   310R   112R   119R   300R   550R  1065R   922R
USC00453184         558R   396R   304S   135S   119R    78S    25S    27R    88R   203S   531R   673R
USC00453222         306R   195R   148R   100R   102R    47R    10R    28R    53R   141R   273R   319R
USC00453226         252R   173R   137R    98R    96R    60R    18R    34R    62R   110R   241R   250R
USC00453284         904R   585R   586R   365R   246R   197R    64R    86R   168R   474R   902R   911R
USC00453320        1110S   792S   808S   573S   360S   257S   136S   164S   257S   756S  1209S  1079S
USC00453333        1607R  1111S  1131S   822S   483R   382S   155S   212S   382R  1014R  1681R  1582R
USC00453515         144C   106S   125C    97C   119C   103C    50C    34C    50C    97C   167S   182S
USC00453546         114S    88C   114R    97S    88S    67S    29S    29S    46S    83S   145S   139S
USC00453730         665R   405R   325R   161R   145R   129S    78S    96S   147S   412R   681R   698R
USC00453826        1783R  1234R  1238R   859R   541R   399R   214R   256R   402R  1128R  1860R  1648R
USC00453883         132S    99S   115S    91S   113S    81S    27C    33S    41S    91C   143S   139S
USC00453915         726Q   591Q   535Q   363Q   261Q   181Q    84Q    97Q   212Q   438Q   870Q   697Q
USC00454077         130R    76R   125R    89R    85R    62R    36R    20R    51R    82R   143R   152R
USC00454084         950S   712S   735S   540R   389S   276S    95S   117S   235S   565S  1056S  1011S
USC00454154         108C    78C    73C    56S    64C    51S    22S    18C    30C    60S   100S   113S
