AQC00914000        2116R  2022S  1840S  1780R  1820R  1306R  1274R  1383R  1570S  2003S  2036R  2242R
USC00020775         147R   130R    94R    50R    30R    75R   421R   420R   180R   109R   107R   142R
USC00020808         194S   167S   156S    72S    58S    52S   365S   340S   202S   141S   114S   166S
USC00020871         200Q   181Q   211Q    90Q    64Q    32Q   272Q   325Q   216Q   160Q   134Q   190Q
USC00020949          68C    79C    56S    20C    11S     3S    44S    95S    58C    40C    39S    61S
USC00020958         107S    86S    59S    29S    40S    40S   224S   213S   102S   114S    79S   117S
USC00021001         382R   307R   299R   184R    62R    40S   192S   281S   182S   182R   192R   165R
USC00021026          84R    95R    90R    24R    13R     7R   111R   155R    88R    39R    65R   105R
USC00021050          95S   105S    78S    18S     5C     2S    27S    77C    34C    54S    43S    60S
USC00021231         152R   114S   103S    58S    25S    63S   432S   403S   177S   118S    88S   153R
USC00021248          71R    82S    67S    61S    43C    33C   123S   134S    97S    90S    74S    83R
USC00021282         190R   172R   189R    62S    14S     9S   104S   138S    92R   111S    82S   144R
USC00021306          86S    93S   103S    27S    20S    18S    90S   172S    73R    52R    56R   114R
USC00021314          98S   104C   107C    35C    23S     5C   110S   128S    75C    63C    61S   109S
USC00021330         118C   116S    90S    36C    31C    30S   266S   288S   130C    99S    68S   118S
USC00021353         196S   207S   177S    55S    21S    12S   137R   235R   113R    87S   114S   145S
USC00021514         100R   119R   110R    29R    12R     2R    95R   154R    70R    54R    78R   120R
USC00021574         146R   118R   155R    56R    70R    41R   274R   405R   186R   131R   153R   156R
USC00021614         200R   213R   190R    84R    39R    16R   196R   257R   188R   120R   121R   198R
USC00021654         150Q   137Q   138Q    67Q    48Q    38Q   199Q   229Q   166Q   101Q   108Q   119Q
USC00021664         147R   149R   128S    48S    46S    88S   384S   463S   171S   129S   124S   193S
USC00021849         126R   135R   106S    49S    52S    47S   230R   304R   160S   135R   114S   137R
USC00021920         124S   165S   161C   110S    54S    34S   128S   160S   120S   120S   107S   117S
USC00022109         175S   189S   149S    58S    42C    19C   188S   237S   194S   110S   120C   153C
USC00022140         186S   167C   111S    50S    35S    72C   461S   465S   197S   158S    99R   194R
USC00022434          70R    52R    43R    17R     2S     1R    38R    62R    48R    36R    36R    67R
USC00022527         141Q   166Q   161Q    77Q    28Q    19Q   201Q   219Q   132Q   122Q   100Q   122Q
USC00022659          75R    71R    52R    30R    28R    46R   327R   325R   166R    93R    71R   107R
USC00022754          94S    91S    57C    26S    36S    38C   220S   218S   110S   102S    74S   115S
USC00022782         152Q   132Q   141Q    48Q    21Q     7Q   118Q   153Q    96Q    76Q    86Q   135Q
USC00022790          50R    61R    44R     9R     6S     3S    29S    67S    70R    25S    25R    52R
USC00022807         105R   134R    99R    29R    21R    14R    86R   192R    90R    82R    67R   131R
USC00023009         212R   233R   226R   127R    62R    42R   238S   347S   256S   189S   181S   203R
USC00023027         123R   103R   109R    37R    25S     6S   121R   130R    79S    56R    53R   130R
