AQW00061705          44C    48C    53C    29C    10C     1C     2C     1C     4C     7C    21C    33C
USC00026601           0Q     0Q     0Q     0Q     2Q    21Q    43Q     5Q     0Q     0Q     0Q     0Q
USC00026603           0Q     0Q     1Q    12Q   110Q   254Q   298Q   293Q   228Q    53Q     0Q     0Q
USC00026616           0S     0S     0S     0S    24S   140C   253S   199S    54S -7777S     0S     0S
USC00026653           0R     0S     0S     0S    13R   112S   159S    94S    33S     0S     0R     0R
USC00026716           0S     0S     0S     0S    12S    81S    78S    14S     2S     0S     0S     0S
USC00026796           0S     0S     0S     0S    12S    83S   137S    71S    18S     0S     0S     0S
USC00026840           0R     0R     3S    35S   158S   279S   299S   296R   241R    59R     0R     0R
USC00026865           0R     0R    21R   105R   240R   292R   310R   310R   285R   149R     6R     0R
USC00027281           0C     0S     2C    50S   182S   287S   306C   297C   250C    66C     0C     0C
USC00027370           0R -7777R    32R   123R   255S   295R   309R   304R   292R   172R    18R     0R
USC00027390           0C     0C     1C    30C   172C   281C   287C   268C   210C    51C     0S     0C
USC00027435           0S     0S     0S     0S    15S   127S   161S    76S    12S     0S     0S     0S
USC00027480           0S     0S     2R    33R   173R   285R   298R   285R   237S    66R     1R     0S
USC00027488           0S     0S     0S     0R    10S   114S   196S   126S    19S     0S     0S     0S
USC00027560           0R     0R     0R    22R   171R   281R   282R   261R   191R    28R     0R     0R
USC00027593           0S     0R -7777S     7R    71S   218R   188S   121R    78S     8R     0R     0R
USC00027619           0S -7777S -7777S    10C    95S   238S   238S   200S   150S    42S     0R     0S
USC00027625           0R     0R     3R    21R   153R   281R   270R   250R   187R    50R     1R     0R
USC00027708           0S     0S     0S     7S    63S   220S   273S   240S   128S    16S     0S     0R
USC00027716           0S     0S     0S     1S    29S   139S   215S   162S    62S     1S     0S     0S
USC00027855           0S     0S     0C     0C     6C    52S    77C    22C     2C     0C     0S     0S
USC00027880           0S     0R     0S     7S    73S   224S   194R   137S    85R     4R     0S     0R
USC00028012           0C     0C     0C     0C    20C   110C   163C    98C    27C     0C     0C     0C
USC00028018           0R     0R     0R     0R     6R    67R   135R    60R    10R     0R     0R     0R
USC00028112           0S     0S     6S    67S   203S   290R   308R   305R   266R    81R -7777R     0R
USC00028162           0S     0S     0S     0S     1S    27S    45S    12S     2S     0S     0S     0R
USC00028214       -7777S     0S     8S    70S   207S   290S   308S   304S   273S   128S    10S     0S
USC00028329           0C     0C     0S     0C     1C    24C    46C    10S     1C     0C     0C     0C
USC00028348           0R     0R     2R    22R   117R   260R   283R   276R   223R    64R     2R     0R
USC00028396           0S     2S    39S   120S   246S   290S   309S   308S   284S   179S    13S     0S
USC00028468           0S     0S     0S     0S    18S   157S   247S   168S    39S     0S     0S     0S
USC00028499           0S     1S    15S   101S   235C   295S   310S   307S   283S   159S    16S     0S
USC00028516           0R     0R     5R    69R   199R   283R   308R   308R   265R    73R     0R     0R
USC00028619           0C     0C     0C     9C    84C   224C   202C   149C    96C    12C     0C     0S
USC00028641           0R     0R    17R   103R   246R   297R   309R   309R   276R   137R     2R     0R
USC00028792           0R     0R     0R     1R    37R   181R   259R   218R    72R     1R     0R     0R
USC00028795           0S     0S     7S    69S   205S   291S   298S   288S   258S   105R     8R -7777R
USC00028796           0R -7777R     9R    82R   224S   296S   303S   298S   278S   121R    12R     0R
USC00028800           0R     0R     9R    53R   209R   292R   298R   290R   260R    95R     3R     0R
USC00028815           0S     0S     4S    43S   180S   285S   289S   280S   236S    74S     1S     0S
USC00028817           0S -7777S    11S    85S   227S   297S   302S   296S   274S   118S    12S     0S
USC00028865           0C     0S     2C    24C   129C   264C   246C   211S   161C    37C -7777S     0C
USC00028904           0S     0S -7777S    17S   126S   261S   293S   273S   190S    36S     0S     0S
USC00029114           0S     0S -7777S     6S    81S   225S   284S   269S   121C     3S     0S     0S
USC00029156           0Q     0Q     0Q     0Q     6Q    16Q    49Q    13Q     3Q     0Q     0Q     0Q
USC00029158           0C     0S     0C     0C    13C    92C   138C    86C    20C     0C     0C     0C
USC00029271           0R     0R     0R -7777R    22S   131S   168S    88R    32R     1R     0R     0R
USC00029287           0S     0S     4S    46S   173S   277S   304S   295S   243S    78S     2S     0S
USC00029309           0R -7777R     7R    69R   196R   278R   306R   303R   259R   119R     9R     0R
USC00029334           0S     0S -7777S    12S   115S   256S   265S   229S   158S    23S     0S     0S
USC00029359           0S     0C     0S     0S     1C    10C    28C     8C     0C     0C     0C     0S
USC00029376           0R -7777S    21R   104S   241R   292S   309S   308R   284R   153R     5R     0R
USC00029410           0R     0R     0R     0R     0R    24R    31R     6R     1R     0R     0R     0R
